storenr,date,customers
170,2018-02-05,9220
173,2018-02-05,6260
101,2018-01-31,4252
105,2018-01-31,8828
110,2018-01-31,3932
111,2018-01-31,5468
112,2018-01-31,4324
113,2018-01-31,4588
115,2018-01-31,6496
117,2018-01-31,8604
118,2018-01-31,6292
122,2018-01-31,4552
123,2018-01-31,7116
124,2018-01-31,3820
125,2018-01-31,8328
126,2018-01-31,10364
127,2018-01-31,5412
128,2018-01-31,4476
134,2018-01-31,5220
138,2018-01-31,5060
139,2018-01-31,8180
140,2018-01-31,3668
141,2018-01-31,5332
143,2018-01-31,8696
152,2018-01-31,3780
154,2018-01-31,10196
155,2018-01-31,7672
159,2018-01-31,4680
163,2018-01-31,6040
168,2018-01-31,4860
170,2018-01-31,7660
173,2018-01-31,4580
180,2018-01-31,8836
182,2018-01-31,5412
183,2018-01-31,7352
184,2018-01-31,6792
189,2018-01-31,5656
191,2018-01-31,4468
192,2018-01-31,3712
193,2018-01-31,6280
196,2018-01-31,9488
197,2018-01-31,5768
200,2018-01-31,7932
206,2018-01-31,7940
207,2018-01-31,5476
211,2018-01-31,8336
213,2018-01-31,8532
218,2018-01-31,4868
221,2018-01-31,10100
222,2018-01-31,7160
227,2018-01-31,10624
229,2018-01-31,5852
230,2018-01-31,8072
231,2018-01-31,7716
236,2018-01-31,6752
254,2018-01-31,3820
257,2018-01-31,7296
262,2018-01-31,4740
266,2018-01-31,3528
267,2018-01-31,6512
268,2018-01-31,6180
272,2018-01-31,4120
278,2018-01-31,5056
291,2018-01-31,8068
301,2018-01-31,6032
306,2018-01-31,5448
323,2018-01-31,8808
101,2018-02-01,5608
105,2018-02-01,11908
110,2018-02-01,5196
111,2018-02-01,7884
112,2018-02-01,5672
113,2018-02-01,5672
115,2018-02-01,8476
117,2018-02-01,9964
118,2018-02-01,8088
122,2018-02-01,6628
123,2018-02-01,9644
124,2018-02-01,5620
125,2018-02-01,9688
126,2018-02-01,12768
127,2018-02-01,6828
128,2018-02-01,6428
134,2018-02-01,6724
138,2018-02-01,6748
139,2018-02-01,10720
140,2018-02-01,5320
141,2018-02-01,6464
143,2018-02-01,11232
152,2018-02-01,5428
154,2018-02-01,13004
155,2018-02-01,9072
159,2018-02-01,6228
163,2018-02-01,8104
168,2018-02-01,6664
170,2018-02-01,9408
173,2018-02-01,6964
180,2018-02-01,10680
182,2018-02-01,7072
183,2018-02-01,9116
184,2018-02-01,8216
189,2018-02-01,7644
191,2018-02-01,6112
192,2018-02-01,4532
193,2018-02-01,8440
196,2018-02-01,11576
197,2018-02-01,7216
200,2018-02-01,9276
206,2018-02-01,9548
207,2018-02-01,7112
211,2018-02-01,9884
213,2018-02-01,10788
218,2018-02-01,6868
221,2018-02-01,11252
222,2018-02-01,9532
227,2018-02-01,12628
229,2018-02-01,7960
230,2018-02-01,10080
231,2018-02-01,9612
236,2018-02-01,8628
254,2018-02-01,4744
257,2018-02-01,9344
262,2018-02-01,5652
266,2018-02-01,4380
267,2018-02-01,7712
268,2018-02-01,7640
272,2018-02-01,5088
278,2018-02-01,6088
291,2018-02-01,9496
301,2018-02-01,6924
306,2018-02-01,6784
323,2018-02-01,10416
101,2018-02-02,5764
105,2018-02-02,11200
110,2018-02-02,5164
111,2018-02-02,7888
112,2018-02-02,5352
113,2018-02-02,7096
115,2018-02-02,8132
117,2018-02-02,10000
118,2018-02-02,8176
122,2018-02-02,7268
123,2018-02-02,8940
124,2018-02-02,5188
125,2018-02-02,9680
126,2018-02-02,13680
127,2018-02-02,6508
128,2018-02-02,6324
134,2018-02-02,7112
138,2018-02-02,6628
139,2018-02-02,9644
140,2018-02-02,5804
141,2018-02-02,6524
143,2018-02-02,9944
152,2018-02-02,5272
154,2018-02-02,12532
155,2018-02-02,9192
159,2018-02-02,5884
163,2018-02-02,8168
168,2018-02-02,6460
170,2018-02-02,9484
173,2018-02-02,6736
180,2018-02-02,9912
182,2018-02-02,6436
183,2018-02-02,8960
184,2018-02-02,8816
189,2018-02-02,7644
191,2018-02-02,6096
192,2018-02-02,4860
193,2018-02-02,8488
196,2018-02-02,10664
197,2018-02-02,7208
200,2018-02-02,9336
206,2018-02-02,9828
207,2018-02-02,7460
211,2018-02-02,9244
213,2018-02-02,10376
218,2018-02-02,6868
221,2018-02-02,10704
222,2018-02-02,9948
227,2018-02-02,11868
229,2018-02-02,7640
230,2018-02-02,9480
231,2018-02-02,9996
236,2018-02-02,7976
254,2018-02-02,5004
257,2018-02-02,9012
262,2018-02-02,5644
266,2018-02-02,4588
267,2018-02-02,8216
268,2018-02-02,7372
272,2018-02-02,5600
278,2018-02-02,6024
291,2018-02-02,9360
301,2018-02-02,7136
306,2018-02-02,7208
323,2018-02-02,10368
101,2018-02-03,5616
105,2018-02-03,11000
110,2018-02-03,5216
111,2018-02-03,7084
112,2018-02-03,5128
113,2018-02-03,5580
115,2018-02-03,8824
117,2018-02-03,8356
118,2018-02-03,7452
122,2018-02-03,6244
123,2018-02-03,9348
124,2018-02-03,5196
125,2018-02-03,10212
126,2018-02-03,12136
127,2018-02-03,4704
128,2018-02-03,6472
134,2018-02-03,6040
227,2018-02-08,13036
229,2018-02-08,8232
230,2018-02-08,10372
231,2018-02-08,9720
236,2018-02-08,8888
254,2018-02-08,4828
257,2018-02-08,9252
262,2018-02-08,5724
266,2018-02-08,4144
267,2018-02-08,7472
268,2018-02-08,7316
272,2018-02-08,5204
278,2018-02-08,5848
291,2018-02-08,9748
301,2018-02-08,7096
306,2018-02-08,6800
323,2018-02-08,10016
101,2018-02-09,6072
105,2018-02-09,12420
110,2018-02-09,5584
111,2018-02-09,8584
112,2018-02-09,6444
113,2018-02-09,6328
115,2018-02-09,9320
117,2018-02-09,10180
118,2018-02-09,9028
122,2018-02-09,7148
123,2018-02-09,9556
124,2018-02-09,5760
125,2018-02-09,10028
126,2018-02-09,14832
127,2018-02-09,6944
128,2018-02-09,6616
134,2018-02-09,6956
138,2018-02-09,7636
139,2018-02-09,10520
140,2018-02-09,6044
141,2018-02-09,6804
143,2018-02-09,10252
152,2018-02-09,5660
154,2018-02-09,12864
155,2018-02-09,9868
159,2018-02-09,6448
163,2018-02-09,8280
168,2018-02-09,6748
170,2018-02-09,10012
173,2018-02-09,7128
180,2018-02-09,10556
182,2018-02-09,7120
183,2018-02-09,9520
184,2018-02-09,8340
189,2018-02-09,7916
191,2018-02-09,6712
192,2018-02-09,5152
193,2018-02-09,8428
196,2018-02-09,12264
197,2018-02-09,7184
200,2018-02-09,9720
206,2018-02-09,10424
207,2018-02-09,7464
211,2018-02-09,9876
213,2018-02-09,10656
218,2018-02-09,6860
221,2018-02-09,11756
222,2018-02-09,10116
227,2018-02-09,12840
229,2018-02-09,8572
230,2018-02-09,10044
231,2018-02-09,10160
236,2018-02-09,8540
180,2018-02-05,10944
182,2018-02-05,7196
183,2018-02-05,9476
184,2018-02-05,8340
189,2018-02-05,7148
191,2018-02-05,5996
192,2018-02-05,4284
193,2018-02-05,8164
196,2018-02-05,12224
197,2018-02-05,7688
200,2018-02-05,9376
206,2018-02-05,9424
207,2018-02-05,6592
211,2018-02-05,9628
213,2018-02-05,10916
218,2018-02-05,6200
221,2018-02-05,12192
222,2018-02-05,8772
227,2018-02-05,14108
229,2018-02-05,7516
230,2018-02-05,9916
231,2018-02-05,9704
236,2018-02-05,8220
254,2018-02-05,4512
257,2018-02-05,8844
262,2018-02-05,6072
266,2018-02-05,3832
267,2018-02-05,7248
268,2018-02-05,7416
272,2018-02-05,5060
278,2018-02-05,5972
291,2018-02-05,9824
301,2018-02-05,7044
306,2018-02-05,6920
323,2018-02-05,11204
101,2018-02-06,4708
105,2018-02-06,9848
110,2018-02-06,4108
111,2018-02-06,6420
112,2018-02-06,4768
113,2018-02-06,4984
115,2018-02-06,7244
117,2018-02-06,9116
118,2018-02-06,6936
122,2018-02-06,5512
123,2018-02-06,7112
124,2018-02-06,4276
125,2018-02-06,8544
126,2018-02-06,12108
127,2018-02-06,5600
128,2018-02-06,5080
134,2018-02-06,5928
138,2018-02-06,5224
139,2018-02-06,8592
140,2018-02-06,4356
141,2018-02-06,5592
143,2018-02-06,9208
152,2018-02-06,4180
154,2018-02-06,11184
155,2018-02-06,8296
159,2018-02-06,5160
163,2018-02-06,6792
168,2018-02-06,5100
170,2018-02-06,7968
173,2018-02-06,5028
180,2018-02-06,9600
182,2018-02-06,5652
183,2018-02-06,7916
184,2018-02-06,7144
189,2018-02-06,5964
191,2018-02-06,5148
192,2018-02-06,4268
193,2018-02-06,6964
196,2018-02-06,10104
197,2018-02-06,6508
200,2018-02-06,8216
206,2018-02-06,8756
207,2018-02-06,6028
211,2018-02-06,8088
213,2018-02-06,9440
218,2018-02-06,5300
221,2018-02-06,10428
222,2018-02-06,7992
227,2018-02-06,12684
229,2018-02-06,6172
230,2018-02-06,8384
231,2018-02-06,8600
236,2018-02-06,7056
254,2018-02-06,3960
257,2018-02-06,7748
262,2018-02-06,5140
266,2018-02-06,3800
267,2018-02-06,6968
268,2018-02-06,6592
272,2018-02-06,4752
278,2018-02-06,5320
291,2018-02-06,8688
301,2018-02-06,5964
306,2018-02-06,5752
323,2018-02-06,9220
101,2018-02-07,4416
105,2018-02-07,7836
110,2018-02-07,3872
111,2018-02-07,6344
112,2018-02-07,4712
113,2018-02-07,4584
115,2018-02-07,5936
117,2018-02-07,8432
118,2018-02-07,6464
122,2018-02-07,4428
123,2018-02-07,6368
124,2018-02-07,3624
125,2018-02-07,7340
126,2018-02-07,10892
127,2018-02-07,5096
128,2018-02-07,4672
134,2018-02-07,5464
138,2018-02-07,4240
139,2018-02-07,6568
140,2018-02-07,3884
141,2018-02-07,5340
143,2018-02-07,7384
152,2018-02-07,3864
154,2018-02-07,9824
155,2018-02-07,7552
159,2018-02-07,4724
163,2018-02-07,5732
168,2018-02-07,4844
170,2018-02-07,8008
173,2018-02-07,4240
180,2018-02-07,7744
182,2018-02-07,4264
183,2018-02-07,7012
184,2018-02-07,5856
189,2018-02-07,5348
191,2018-02-07,4736
192,2018-02-07,3712
193,2018-02-07,5908
196,2018-02-07,8768
197,2018-02-07,6020
200,2018-02-07,7244
206,2018-02-07,8028
207,2018-02-07,5364
211,2018-02-07,7744
213,2018-02-07,8016
218,2018-02-07,5124
221,2018-02-07,9140
222,2018-02-07,5588
227,2018-02-07,11676
229,2018-02-07,5656
230,2018-02-07,7532
231,2018-02-07,7932
236,2018-02-07,6812
254,2018-02-07,3852
257,2018-02-07,7440
262,2018-02-07,4548
266,2018-02-07,3440
267,2018-02-07,6424
268,2018-02-07,5684
272,2018-02-07,4164
278,2018-02-07,5076
291,2018-02-07,7692
301,2018-02-07,5108
306,2018-02-07,5040
323,2018-02-07,7928
101,2018-02-08,5984
105,2018-02-08,10668
110,2018-02-08,5400
111,2018-02-08,8172
112,2018-02-08,5840
113,2018-02-08,5852
115,2018-02-08,8108
117,2018-02-08,10384
118,2018-02-08,7948
122,2018-02-08,6156
123,2018-02-08,9080
124,2018-02-08,5324
125,2018-02-08,9544
126,2018-02-08,13220
127,2018-02-08,6248
128,2018-02-08,6248
134,2018-02-08,6800
138,2018-02-08,6532
139,2018-02-08,9932
140,2018-02-08,5436
141,2018-02-08,6592
143,2018-02-08,10408
152,2018-02-08,5356
154,2018-02-08,12788
155,2018-02-08,9040
159,2018-02-08,5848
163,2018-02-08,8012
168,2018-02-08,6736
170,2018-02-08,8868
173,2018-02-08,5904
180,2018-02-08,9880
182,2018-02-08,6272
183,2018-02-08,8940
184,2018-02-08,8352
189,2018-02-08,7712
191,2018-02-08,6192
192,2018-02-08,4848
193,2018-02-08,7992
196,2018-02-08,11416
197,2018-02-08,7480
200,2018-02-08,9256
206,2018-02-08,10016
207,2018-02-08,7116
211,2018-02-08,9816
213,2018-02-08,10368
218,2018-02-08,6880
221,2018-02-08,11256
222,2018-02-08,8424
115,2018-02-13,6676
117,2018-02-13,8848
118,2018-02-13,6864
122,2018-02-13,5304
123,2018-02-13,7640
124,2018-02-13,4116
125,2018-02-13,8032
126,2018-02-13,10752
127,2018-02-13,5564
128,2018-02-13,5172
134,2018-02-13,5656
138,2018-02-13,5372
139,2018-02-13,8892
140,2018-02-13,4256
141,2018-02-13,5396
143,2018-02-13,9088
152,2018-02-13,4160
154,2018-02-13,11064
155,2018-02-13,8080
159,2018-02-13,4520
163,2018-02-13,6748
168,2018-02-13,5440
170,2018-02-13,7824
173,2018-02-13,4760
180,2018-02-13,9104
182,2018-02-13,5800
183,2018-02-13,7972
184,2018-02-13,7236
189,2018-02-13,6128
191,2018-02-13,5176
192,2018-02-13,3904
193,2018-02-13,6700
196,2018-02-13,10292
197,2018-02-13,6452
200,2018-02-13,8416
206,2018-02-13,8496
207,2018-02-13,6004
211,2018-02-13,8360
213,2018-02-13,9216
218,2018-02-13,5240
221,2018-02-13,10572
222,2018-02-13,8008
227,2018-02-13,12408
229,2018-02-13,6552
230,2018-02-13,8612
231,2018-02-13,8472
236,2018-02-13,7300
254,2018-02-13,3960
257,2018-02-13,7856
262,2018-02-13,5200
266,2018-02-13,3396
267,2018-02-13,6616
268,2018-02-13,6508
272,2018-02-13,4464
278,2018-02-13,5080
291,2018-02-13,8804
301,2018-02-13,6040
306,2018-02-13,5568
323,2018-02-13,8868
101,2018-02-14,4940
105,2018-02-14,10252
110,2018-02-14,4508
111,2018-02-14,6616
112,2018-02-14,4980
113,2018-02-14,5088
115,2018-02-14,7508
117,2018-02-14,9888
118,2018-02-14,7512
122,2018-02-14,5400
123,2018-02-14,8068
124,2018-02-14,4440
254,2018-02-09,5112
257,2018-02-09,9020
262,2018-02-09,6340
266,2018-02-09,4348
267,2018-02-09,8788
268,2018-02-09,7752
272,2018-02-09,5884
278,2018-02-09,6160
291,2018-02-09,9484
301,2018-02-09,7432
306,2018-02-09,7572
323,2018-02-09,10384
101,2018-02-10,5632
105,2018-02-10,12136
110,2018-02-10,5640
111,2018-02-10,8264
112,2018-02-10,5628
113,2018-02-10,6336
115,2018-02-10,9216
117,2018-02-10,8768
118,2018-02-10,8716
122,2018-02-10,6776
123,2018-02-10,10072
124,2018-02-10,5444
125,2018-02-10,10336
126,2018-02-10,13136
127,2018-02-10,6368
128,2018-02-10,7188
134,2018-02-10,7216
138,2018-02-10,7624
139,2018-02-10,10504
140,2018-02-10,5960
141,2018-02-10,6744
143,2018-02-10,10504
152,2018-02-10,5980
154,2018-02-10,12804
155,2018-02-10,9380
159,2018-02-10,7432
163,2018-02-10,8768
168,2018-02-10,6684
170,2018-02-10,8308
173,2018-02-10,7592
180,2018-02-10,9820
182,2018-02-10,6948
183,2018-02-10,8452
184,2018-02-10,8764
189,2018-02-10,7636
191,2018-02-10,6020
192,2018-02-10,5664
193,2018-02-10,8312
196,2018-02-10,11928
197,2018-02-10,7036
200,2018-02-10,9172
206,2018-02-10,8984
207,2018-02-10,7480
211,2018-02-10,8852
213,2018-02-10,9632
218,2018-02-10,6636
221,2018-02-10,9272
222,2018-02-10,10372
227,2018-02-10,10956
229,2018-02-10,8780
230,2018-02-10,9496
231,2018-02-10,10124
236,2018-02-10,9056
254,2018-02-10,5608
257,2018-02-10,9080
262,2018-02-10,5344
266,2018-02-10,4304
267,2018-02-10,7884
268,2018-02-10,7116
272,2018-02-10,5908
278,2018-02-10,5696
291,2018-02-10,9208
301,2018-02-10,6280
306,2018-02-10,7940
323,2018-02-10,9036
101,2018-02-11,3596
105,2018-02-11,7516
110,2018-02-11,3036
111,2018-02-11,4596
112,2018-02-11,2240
113,2018-02-11,3276
115,2018-02-11,5400
117,2018-02-11,5432
118,2018-02-11,5264
122,2018-02-11,3796
123,2018-02-11,5160
124,2018-02-11,2884
125,2018-02-11,6148
126,2018-02-11,8272
127,2018-02-11,3508
128,2018-02-11,4420
134,2018-02-11,4340
138,2018-02-11,4156
139,2018-02-11,6056
140,2018-02-11,3240
141,2018-02-11,4156
143,2018-02-11,6828
152,2018-02-11,3544
154,2018-02-11,7580
155,2018-02-11,6052
159,2018-02-11,4152
163,2018-02-11,5552
168,2018-02-11,4160
170,2018-02-11,5160
173,2018-02-11,4080
180,2018-02-11,6300
182,2018-02-11,4648
183,2018-02-11,4252
184,2018-02-11,4968
189,2018-02-11,4752
191,2018-02-11,3108
192,2018-02-11,3156
193,2018-02-11,5956
196,2018-02-11,7832
197,2018-02-11,3664
200,2018-02-11,5400
206,2018-02-11,5112
207,2018-02-11,4696
211,2018-02-11,5512
213,2018-02-11,6128
218,2018-02-11,3680
221,2018-02-11,6352
222,2018-02-11,5728
227,2018-02-11,7088
229,2018-02-11,5164
230,2018-02-11,6680
231,2018-02-11,6644
236,2018-02-11,5116
254,2018-02-11,3896
257,2018-02-11,5616
262,2018-02-11,3176
266,2018-02-11,2644
267,2018-02-11,5044
268,2018-02-11,4008
272,2018-02-11,3880
278,2018-02-11,3576
291,2018-02-11,5212
301,2018-02-11,3436
306,2018-02-11,5084
323,2018-02-11,5080
101,2018-02-12,5576
105,2018-02-12,11740
110,2018-02-12,5340
111,2018-02-12,8212
112,2018-02-12,5648
113,2018-02-12,6192
115,2018-02-12,9200
117,2018-02-12,10160
118,2018-02-12,8568
122,2018-02-12,6596
123,2018-02-12,9248
124,2018-02-12,5344
125,2018-02-12,9800
126,2018-02-12,13416
127,2018-02-12,7044
128,2018-02-12,6536
134,2018-02-12,7336
138,2018-02-12,7024
139,2018-02-12,10252
140,2018-02-12,5700
141,2018-02-12,6600
143,2018-02-12,10436
152,2018-02-12,5032
154,2018-02-12,13576
155,2018-02-12,8812
159,2018-02-12,5660
163,2018-02-12,7864
168,2018-02-12,6932
170,2018-02-12,9308
173,2018-02-12,6320
180,2018-02-12,10932
182,2018-02-12,7316
183,2018-02-12,9448
184,2018-02-12,8352
189,2018-02-12,7696
191,2018-02-12,6500
192,2018-02-12,4632
193,2018-02-12,8432
196,2018-02-12,12332
197,2018-02-12,7568
200,2018-02-12,9700
206,2018-02-12,10052
207,2018-02-12,7120
211,2018-02-12,9796
213,2018-02-12,10488
218,2018-02-12,6252
221,2018-02-12,12140
222,2018-02-12,8748
227,2018-02-12,14588
229,2018-02-12,8060
230,2018-02-12,10120
231,2018-02-12,9724
236,2018-02-12,9132
254,2018-02-12,5008
257,2018-02-12,9508
262,2018-02-12,6044
266,2018-02-12,4000
267,2018-02-12,7424
268,2018-02-12,7792
272,2018-02-12,5456
278,2018-02-12,6168
291,2018-02-12,9972
301,2018-02-12,7168
306,2018-02-12,7008
323,2018-02-12,10656
101,2018-02-13,4620
105,2018-02-13,9236
110,2018-02-13,4340
111,2018-02-13,6264
112,2018-02-13,3964
113,2018-02-13,5192
154,2018-02-16,12584
155,2018-02-16,9236
159,2018-02-16,5796
163,2018-02-16,7740
168,2018-02-16,6340
170,2018-02-16,9324
173,2018-02-16,6652
180,2018-02-16,10452
182,2018-02-16,6520
183,2018-02-16,9100
184,2018-02-16,8548
189,2018-02-16,7432
191,2018-02-16,5936
192,2018-02-16,4820
193,2018-02-16,8480
196,2018-02-16,11080
197,2018-02-16,7340
200,2018-02-16,9440
206,2018-02-16,9436
207,2018-02-16,7304
211,2018-02-16,9544
213,2018-02-16,10604
218,2018-02-16,6760
221,2018-02-16,11660
222,2018-02-16,10060
227,2018-02-16,12484
229,2018-02-16,8292
230,2018-02-16,9544
231,2018-02-16,9924
236,2018-02-16,8160
254,2018-02-16,4960
257,2018-02-16,9192
262,2018-02-16,5912
266,2018-02-16,4240
267,2018-02-16,8276
268,2018-02-16,7660
272,2018-02-16,5148
278,2018-02-16,5964
291,2018-02-16,9492
301,2018-02-16,6844
306,2018-02-16,7124
323,2018-02-16,10296
101,2018-02-17,5580
105,2018-02-17,11692
110,2018-02-17,5316
111,2018-02-17,7880
112,2018-02-17,5856
113,2018-02-17,5820
115,2018-02-17,8708
117,2018-02-17,8472
118,2018-02-17,8072
122,2018-02-17,6748
123,2018-02-17,9412
124,2018-02-17,5208
125,2018-02-17,9796
126,2018-02-17,12316
127,2018-02-17,6648
128,2018-02-17,7020
134,2018-02-17,6312
138,2018-02-17,7256
139,2018-02-17,10396
140,2018-02-17,5736
141,2018-02-17,7008
143,2018-02-17,10428
152,2018-02-17,5672
154,2018-02-17,12376
155,2018-02-17,9160
159,2018-02-17,6888
163,2018-02-17,8260
168,2018-02-17,6776
125,2018-02-14,9040
126,2018-02-14,12076
127,2018-02-14,5900
128,2018-02-14,5304
134,2018-02-14,6064
138,2018-02-14,5540
139,2018-02-14,9000
140,2018-02-14,4648
141,2018-02-14,5776
143,2018-02-14,9744
152,2018-02-14,4268
154,2018-02-14,11560
155,2018-02-14,8680
159,2018-02-14,5160
163,2018-02-14,6856
168,2018-02-14,5528
170,2018-02-14,8736
173,2018-02-14,5000
180,2018-02-14,10016
182,2018-02-14,6052
183,2018-02-14,8304
184,2018-02-14,7480
189,2018-02-14,6372
191,2018-02-14,5248
192,2018-02-14,4080
193,2018-02-14,7624
196,2018-02-14,10328
197,2018-02-14,6208
200,2018-02-14,8904
206,2018-02-14,9144
207,2018-02-14,5820
211,2018-02-14,9120
213,2018-02-14,9452
218,2018-02-14,5576
221,2018-02-14,11340
222,2018-02-14,7664
227,2018-02-14,12504
229,2018-02-14,6864
230,2018-02-14,8072
231,2018-02-14,8888
236,2018-02-14,7688
254,2018-02-14,3980
257,2018-02-14,8108
262,2018-02-14,5148
266,2018-02-14,3564
267,2018-02-14,6944
268,2018-02-14,7212
272,2018-02-14,4840
278,2018-02-14,5728
291,2018-02-14,9284
301,2018-02-14,6428
306,2018-02-14,6024
323,2018-02-14,9372
101,2018-02-15,5828
105,2018-02-15,12124
110,2018-02-15,5276
111,2018-02-15,8212
112,2018-02-15,5940
113,2018-02-15,5960
115,2018-02-15,8740
117,2018-02-15,9796
118,2018-02-15,8428
122,2018-02-15,6788
123,2018-02-15,9192
124,2018-02-15,5364
125,2018-02-15,10156
126,2018-02-15,13600
127,2018-02-15,6980
128,2018-02-15,6348
134,2018-02-15,6700
138,2018-02-15,6668
139,2018-02-15,10264
140,2018-02-15,5484
141,2018-02-15,6660
143,2018-02-15,10696
152,2018-02-15,5612
154,2018-02-15,13696
155,2018-02-15,9148
159,2018-02-15,6116
163,2018-02-15,8216
168,2018-02-15,6976
170,2018-02-15,9432
173,2018-02-15,6912
180,2018-02-15,11024
182,2018-02-15,7308
183,2018-02-15,9156
184,2018-02-15,8548
189,2018-02-15,7832
191,2018-02-15,6376
192,2018-02-15,4724
193,2018-02-15,8580
196,2018-02-15,11776
197,2018-02-15,7492
200,2018-02-15,9348
206,2018-02-15,9860
207,2018-02-15,7044
211,2018-02-15,9716
213,2018-02-15,11008
218,2018-02-15,6480
221,2018-02-15,11652
222,2018-02-15,9412
227,2018-02-15,14108
229,2018-02-15,8508
230,2018-02-15,9996
231,2018-02-15,9728
236,2018-02-15,8956
254,2018-02-15,4728
257,2018-02-15,9248
262,2018-02-15,5976
266,2018-02-15,4152
267,2018-02-15,7824
268,2018-02-15,7652
272,2018-02-15,5108
278,2018-02-15,6040
291,2018-02-15,9952
301,2018-02-15,6928
306,2018-02-15,7192
323,2018-02-15,11044
101,2018-02-16,5748
105,2018-02-16,11192
110,2018-02-16,5280
111,2018-02-16,8208
112,2018-02-16,5580
113,2018-02-16,6124
115,2018-02-16,8264
117,2018-02-16,10112
118,2018-02-16,8272
122,2018-02-16,6856
123,2018-02-16,9504
124,2018-02-16,5416
125,2018-02-16,9396
126,2018-02-16,13796
127,2018-02-16,6500
128,2018-02-16,6264
134,2018-02-16,6696
138,2018-02-16,6612
139,2018-02-16,9896
140,2018-02-16,5820
141,2018-02-16,6544
143,2018-02-16,10276
152,2018-02-16,4920
221,2018-02-20,10432
222,2018-02-20,6280
227,2018-02-20,11440
229,2018-02-20,6228
230,2018-02-20,7080
231,2018-02-20,7516
236,2018-02-20,6092
254,2018-02-20,3148
257,2018-02-20,7076
262,2018-02-20,4452
266,2018-02-20,3060
267,2018-02-20,6096
268,2018-02-20,6016
272,2018-02-20,4036
278,2018-02-20,4968
291,2018-02-20,7380
301,2018-02-20,5224
306,2018-02-20,4896
323,2018-02-20,8116
101,2018-02-21,4536
105,2018-02-21,8584
110,2018-02-21,3604
111,2018-02-21,5500
112,2018-02-21,4048
113,2018-02-21,4204
115,2018-02-21,6664
117,2018-02-21,8316
118,2018-02-21,6440
122,2018-02-21,4604
123,2018-02-21,6984
124,2018-02-21,3772
125,2018-02-21,8120
